Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
20,2013-14,"49,506","2,333","4,029","4,290","4,160","3,852","3,671","3,532","3,589","3,494","3,838","3,879","3,628","2,640","2,571","23,574",47.6,"25,932",52.4,"20,585",41.6,"1,800",3.6,"12,966",26.2,371,0.7,"13,784",27.8,"7,095",14.3,"12,176",24.6,"37,118",75,No Data
21,2013-14,"34,943","1,972","2,163","2,316","2,121","2,097","2,086","1,893","2,740","2,740","2,752","3,395","3,237","2,588","2,843","16,966",48.6,"17,977",51.4,"8,761",25.1,"5,669",16.2,"8,675",24.8,357,1,"11,481",32.9,"5,859",16.8,"5,195",14.9,"24,085",68.9,No Data
22,2013-14,"35,912","2,147","2,801","3,077","2,943","2,832","2,750","2,768","2,163","2,247","2,305","2,629","2,854","2,023","2,373","17,700",49.3,"18,212",50.7,"6,398",17.8,"13,288",37,"5,178",14.4,438,1.2,"10,610",29.5,"5,236",14.6,"3,534",9.8,"23,528",65.5,No Data
23,2013-14,"10,767",890,779,856,779,795,853,686,"1,031","1,017","1,189",496,544,439,413,"5,117",47.5,"5,650",52.5,94,0.9,"8,341",77.5,"2,114",19.6,121,1.1,97,0.9,"2,312",21.5,466,4.3,"9,533",88.5,No Data
24,2013-14,"59,750","3,660","5,235","5,342","5,033","4,987","4,795","4,523","3,968","4,284","4,222","3,773","3,487","3,153","3,288","28,247",47.3,"31,503",52.7,"11,827",19.8,"1,860",3.1,"37,157",62.2,492,0.8,"8,414",14.1,"8,411",14.1,"12,875",21.5,"43,982",73.6,No Data
25,2013-14,"37,279","2,375","2,918","3,129","2,826","2,683","2,639","2,503","2,489","2,483","2,637","3,048","2,530","2,338","2,681","18,209",48.8,"19,070",51.2,"17,422",46.7,"3,458",9.3,"10,562",28.3,402,1.1,"5,435",14.6,"5,063",13.6,"6,491",17.4,"25,603",68.7,No Data
26,2013-14,"31,982","1,271","1,800","1,898","1,756","1,719","1,856","1,736","1,922","1,868","1,969","4,198","3,508","3,340","3,141","15,604",48.8,"16,378",51.2,"16,296",51,"4,024",12.6,"5,383",16.8,516,1.6,"5,763",18,"4,157",13,"2,406",7.5,"18,334",57.3,No Data
27,2013-14,"45,926","2,518","3,707","3,859","3,612","3,529","3,480","3,570","3,578","3,679","3,649","3,229","2,727","2,624","2,165","21,935",47.8,"23,991",52.2,"10,734",23.4,"12,114",26.4,"16,839",36.7,"1,588",3.5,"4,651",10.1,"7,248",15.8,"4,068",8.9,"35,776",77.9,No Data
28,2013-14,"40,444","2,142","2,835","2,957","2,807","2,711","2,561","2,617","2,404","2,327","2,456","3,954","3,904","3,392","3,377","20,112",49.7,"20,332",50.3,"11,748",29,"9,982",24.7,"10,501",26,"1,649",4.1,"6,564",16.2,"5,645",14,"3,910",9.7,"28,273",69.9,No Data
29,2013-14,"27,645","1,575","2,379","2,707","2,561","2,438","2,470","2,422","2,209","2,374","2,462","1,200","1,090",945,813,"13,569",49.1,"14,076",50.9,"4,189",15.2,"18,465",66.8,"3,804",13.8,684,2.5,503,1.8,"4,212",15.2,"1,893",6.8,"21,030",76.1,No Data
30,2013-14,"41,218","2,639","3,131","3,408","3,219","3,085","2,910","3,125","3,400","3,232","3,290","2,756","2,706","2,080","2,237","20,335",49.3,"20,883",50.7,"9,200",22.3,"2,923",7.1,"22,154",53.7,504,1.2,"6,437",15.6,"5,682",13.8,"7,751",18.8,"29,772",72.2,No Data
31,2013-14,"62,021","3,536","4,666","4,807","4,635","4,504","4,532","4,706","4,235","4,080","4,280","5,186","4,975","4,048","3,831","30,162",48.6,"31,858",51.4,"5,077",8.2,"8,150",13.1,"16,422",26.5,932,1.5,"31,440",50.7,"13,473",21.7,"3,177",5.1,"34,414",55.5,No Data
32,2013-14,"14,636","1,226","1,091","1,221","1,203","1,155","1,171","1,149","1,229","1,289","1,269",644,875,572,542,"7,253",49.6,"7,383",50.4,264,1.8,"2,856",19.5,"11,191",76.5,106,0.7,219,1.5,"2,627",17.9,"2,608",17.8,"12,898",88.1,No Data
